Intensity	Wavelength
5.791929309199271260e-30	5.823799999999999955e+01
1.552468532100084489e-30	5.875699999999999790e+01
3.781417715542855388e-28	6.022599999999999909e+01
1.391516014201125325e-27	6.068999999999999773e+01
3.399890473331544561e-28	6.075999999999999801e+01
1.045283726306082327e-31	6.132600000000000051e+01
4.469986456294899954e-32	6.197299999999999898e+01
5.640516527754276488e-32	6.215400000000000347e+01
2.512292796217901942e-28	6.235000000000000142e+01
4.560287430979389909e-28	6.293699999999999761e+01
4.139313049677824984e-30	6.514600000000000080e+01
1.263985840591071330e-32	6.544899999999999807e+01
1.794784893871420851e-32	6.560500000000000398e+01
3.029495691743702313e-30	6.571399999999999864e+01
1.836290923151806866e-31	6.578700000000000614e+01
3.681340292879533021e-32	6.606999999999999318e+01
1.623939140309954425e-31	6.614799999999999613e+01
1.223258100492406581e-32	6.621500000000000341e+01
6.744042475601642329e-31	6.625799999999999557e+01
6.108133128732430235e-32	6.628900000000000148e+01
9.463309845993116158e-33	6.633799999999999386e+01
2.401918563570187050e-32	6.647199999999999420e+01
7.067321609296040450e-31	6.652500000000000568e+01
2.312049595709013497e-31	6.667900000000000205e+01
6.689592023523625022e-33	6.681799999999999784e+01
4.523502336175180922e-31	6.695399999999999352e+01
7.086476462198846418e-32	6.701000000000000512e+01
3.173908174994135872e-31	6.710800000000000409e+01
1.526190567171733033e-32	6.723699999999999477e+01
9.235690126434188199e-31	6.727800000000000580e+01
5.093499571450222845e-30	6.737800000000000011e+01
5.697287091119034111e-31	6.740399999999999636e+01
4.679404614487364731e-30	6.744599999999999795e+01
7.652719277633626666e-33	6.746899999999999409e+01
5.794965801634940834e-32	6.747700000000000387e+01
1.971872798032592393e-27	6.767000000000000171e+01
9.849360606233824309e-30	6.776800000000000068e+01
9.456191551020102639e-29	6.794299999999999784e+01
1.813078093593671928e-28	6.807299999999999329e+01
7.787967607246397352e-33	6.810099999999999909e+01
7.332076464510816088e-30	6.811199999999999477e+01
6.531061057988121737e-30	6.820199999999999818e+01
1.546315055687368950e-29	6.832500000000000284e+01
2.853753206679067676e-29	6.837199999999999989e+01
1.430608516024536391e-32	6.847299999999999898e+01
5.572246455585115604e-29	6.848600000000000421e+01
5.464186435019906918e-27	6.850300000000000011e+01
1.229442588319509160e-30	6.865399999999999636e+01
2.404694653824069854e-31	6.896200000000000330e+01
3.223620906999182990e-29	6.913800000000000523e+01
2.518933493559406500e-32	6.930200000000000671e+01
1.675769354932372219e-30	6.939499999999999602e+01
5.337420209418053547e-33	6.945699999999999363e+01
4.684474258907003740e-33	6.995300000000000296e+01
2.180021869302739893e-32	6.997899999999999920e+01
1.246844106387981259e-31	7.068899999999999295e+01
6.388546303900834964e-32	7.081999999999999318e+01
9.659538545598915745e-32	7.099299999999999500e+01
4.198295396884878755e-32	7.115500000000000114e+01
6.458371442001686682e-32	7.129000000000000625e+01
3.076670117876588817e-31	7.160200000000000387e+01
2.671444739497087638e-33	7.195699999999999363e+01
1.134940635291904385e-32	7.254600000000000648e+01
1.431488818458670924e-32	7.281300000000000239e+01
2.982141548533815712e-27	7.284999999999999432e+01
1.051194615440589229e-32	7.287199999999999989e+01
1.126801161133825177e-30	7.300400000000000489e+01
1.863747808729463210e-30	7.361199999999999477e+01
5.096834042064517288e-27	7.361799999999999500e+01
2.247851441488897012e-28	7.411400000000000432e+01
8.284474474100903815e-28	7.415999999999999659e+01
3.401021545364845900e-31	7.421599999999999397e+01
1.262394321343745519e-31	7.461700000000000443e+01
9.988188064149610229e-29	7.483899999999999864e+01
1.118251413738449986e-32	7.484000000000000341e+01
2.231379574027310700e-29	7.511799999999999500e+01
1.085182073801189376e-32	7.537600000000000477e+01
2.723785431192354145e-30	7.571099999999999852e+01
3.392073900099390620e-28	7.587500000000000000e+01
3.518025447911008549e-30	7.594400000000000261e+01
3.681498180961649355e-29	7.596599999999999397e+01
3.820295674384198283e-30	7.614799999999999613e+01
3.054893868325309241e-32	7.618399999999999750e+01
