g_total	Temperature
0.000000000000000000e+00	5.000000000000000000e+04
0.000000000000000000e+00	5.829572005899154465e+04
0.000000000000000000e+00	6.796781954392633634e+04
0.000000000000000000e+00	7.924465962305568974e+04
4.201092616912180458e-42	9.239248987111452152e+04
2.395125426210866740e-38	1.077217345015940955e+05
2.624463647094193570e-35	1.255943215754790872e+05
7.900821641088077045e-33	1.464322282312618336e+05
8.814948803709303732e-31	1.707274436916800041e+05
4.337165305967961794e-29	1.990535852767484321e+05
1.045628427881338881e-27	2.320794416806390800e+05
1.338787931796622617e-26	2.705847632732318598e+05
9.875870022386472954e-26	3.154786722400964354e+05
4.603651367187717629e-25	3.678211272298209951e+05
1.481089348408542279e-24	4.288479492954472080e+05
3.528355251317860492e-24	4.999999999999999418e+05
6.529600724501455041e-24	5.829572005899155047e+05
9.641318830275591333e-24	6.796781954392619664e+05
1.136384335236038374e-23	7.924465962305569556e+05
1.032360612195255966e-23	9.239248987111452734e+05
6.802934726612184323e-24	1.077217345015940955e+06
3.096980443553717573e-24	1.255943215754790930e+06
9.381643653226508244e-25	1.464322282312618569e+06
1.768503441380861003e-25	1.707274436916800216e+06
1.820008641492108711e-26	1.990535852767484263e+06
9.981048547647216819e-28	2.320794416806390509e+06
3.998233246711594145e-29	2.705847632732318249e+06
1.603994593826631788e-30	3.154786722400964703e+06
7.247687347793973567e-32	3.678211272298210301e+06
3.737737455594231242e-33	4.288479492954472080e+06
2.145132445459035629e-34	4.999999999999999069e+06
1.311801266892320579e-35	5.829572005899154581e+06
8.072432644742202664e-37	6.796781954392619431e+06
4.634185737015127498e-38	7.924465962305570021e+06
2.256696990208439510e-39	9.239248987111452967e+06
8.332355558566506233e-41	1.077217345015943237e+07
2.112760547683910071e-42	1.255943215754790977e+07
0.000000000000000000e+00	1.464322282312618382e+07
0.000000000000000000e+00	1.707274436916800216e+07
0.000000000000000000e+00	1.990535852767484263e+07
0.000000000000000000e+00	2.320794416806386039e+07
0.000000000000000000e+00	2.705847632732318342e+07
0.000000000000000000e+00	3.154786722400964424e+07
0.000000000000000000e+00	3.678211272298210114e+07
0.000000000000000000e+00	4.288479492954472452e+07
0.000000000000000000e+00	5.000000000000000000e+07
