z[Mm]	T[K]
2.423255813953488325e+00	7.498942093324558300e+03
2.695348837209302406e+00	8.659643233600652820e+03
2.906976744186046346e+00	9.172759353897794426e+03
3.239534883720930125e+00	1.059253725177289743e+04
3.390697674418604812e+00	1.258925411794166212e+04
3.511627906976744207e+00	1.678804018122558773e+04
3.511627906976744207e+00	2.238721138568337847e+04
3.572093023255813904e+00	2.900681198693155966e+04
3.602325581395348753e+00	3.868120546330524667e+04
3.662790697674418894e+00	5.158221650723060884e+04
3.662790697674418894e+00	6.493816315762112936e+04
3.662790697674418894e+00	9.172759353897803521e+04
3.662790697674418894e+00	1.333521432163323916e+05
3.723255813953488591e+00	1.727825980507866188e+05
3.753488372093022996e+00	2.238721138568337774e+05
3.753488372093022996e+00	2.900681198693155893e+05
3.783720930232558288e+00	4.097321098135421635e+05
3.844186046511627985e+00	5.158221650723061175e+05
3.995348837209302229e+00	7.079457843841373688e+05
4.146511627906976472e+00	8.413951416451964760e+05
4.479069767441860250e+00	9.716279515771077713e+05
4.751162790697674332e+00	1.029200527194428607e+06
5.113953488372093403e+00	1.029200527194428607e+06
5.325581395348837788e+00	1.090184492385126650e+06
5.658139534883720678e+00	1.090184492385126650e+06
5.930232558139534760e+00	1.090184492385126650e+06
6.232558139534883246e+00	1.090184492385126650e+06
6.534883720930232620e+00	1.090184492385126650e+06
6.837209302325581106e+00	1.122018454301965190e+06
7.230232558139534582e+00	1.122018454301965190e+06
7.441860465116278966e+00	1.090184492385126650e+06
7.865116279069767735e+00	1.090184492385126650e+06
8.106976744186045636e+00	1.090184492385126650e+06
8.318604651162790020e+00	1.090184492385126650e+06
8.711627906976744384e+00	1.090184492385126650e+06
8.953488372093023173e+00	1.090184492385126650e+06
9.316279069767441356e+00	1.090184492385126650e+06
9.588372093023256326e+00	1.029200527194428607e+06
9.920930232558138329e+00	1.059253725177289685e+06
1.022325581395348770e+01	1.029200527194428607e+06
1.055581395348837148e+01	1.029200527194428607e+06
1.079767441860465027e+01	1.029200527194428607e+06
1.106976744186046524e+01	1.000000000000000000e+06
1.140232558139534902e+01	1.000000000000000000e+06
1.173488372093023280e+01	9.716279515771077713e+05
1.197674418604651159e+01	9.716279515771077713e+05
1.230930232558139537e+01	9.440608762859225972e+05
1.261162790697674474e+01	9.440608762859225972e+05
1.288372093023255793e+01	9.440608762859225972e+05
1.324651162790697612e+01	9.172759353897803230e+05
1.357906976744185990e+01	9.172759353897803230e+05
1.382093023255813868e+01	9.172759353897803230e+05
1.409302325581395365e+01	9.172759353897803230e+05
1.439534883720930303e+01	9.172759353897803230e+05
