z [Mm]	log(T) [K]
-2.513907909393310547e+00	4.319807052612304688e+00	1.111672027036547661e-03
-2.491873979568481445e+00	4.317502975463867188e+00	1.024561584927141666e-03
-2.469969987869262695e+00	4.315493106842041016e+00	1.003409386612474918e-03
-2.448189973831176758e+00	4.313532829284667969e+00	1.027233316563069820e-03
-2.426533937454223633e+00	4.311542987823486328e+00	1.053600106388330460e-03
-2.405002117156982422e+00	4.309566497802734375e+00	1.068604644387960434e-03
-2.383591890335083008e+00	4.307590961456298828e+00	1.087605254724621773e-03
-2.362303972244262695e+00	4.305625915527343750e+00	1.105435425415635109e-03
-2.341133117675781250e+00	4.303669452667236328e+00	1.126004150137305260e-03
-2.320080995559692383e+00	4.301726818084716797e+00	1.154592726379632950e-03
-2.299148082733154297e+00	4.299793243408203125e+00	1.180029241368174553e-03
-2.278328895568847656e+00	4.297864913940429688e+00	1.197343226522207260e-03
-2.257627010345458984e+00	4.295943260192871094e+00	1.209593843668699265e-03
-2.237036943435668945e+00	4.294026851654052734e+00	1.223183353431522846e-03
-2.216556072235107422e+00	4.292115211486816406e+00	1.241705729626119137e-03
-2.196188926696777344e+00	4.290206909179687500e+00	1.264631631784141064e-03
-2.175932884216308594e+00	4.288298130035400391e+00	1.287503982894122601e-03
-2.155783891677856445e+00	4.286397933959960938e+00	1.317007699981331825e-03
-2.135741949081420898e+00	4.284502506256103516e+00	1.339156180620193481e-03
-2.115809917449951172e+00	4.282616615295410156e+00	1.359987654723227024e-03
-2.095980882644653320e+00	4.280726432800292969e+00	1.377061242237687111e-03
-2.076252937316894531e+00	4.278841018676757812e+00	1.398434164002537727e-03
-2.056631088256835938e+00	4.276968479156494141e+00	1.423892914317548275e-03
-2.037111043930053711e+00	4.275091171264648438e+00	1.452028285712003708e-03
-2.017689943313598633e+00	4.273211002349853516e+00	1.484727603383362293e-03
-1.998368978500366211e+00	4.271337985992431641e+00	1.516081276349723339e-03
-1.979146122932434082e+00	4.269464492797851562e+00	1.543280784972012043e-03
-1.960023045539855957e+00	4.267596721649169922e+00	1.572338864207267761e-03
-1.940995931625366211e+00	4.265729904174804688e+00	1.600600196979939938e-03
-1.922062993049621582e+00	4.263864517211914062e+00	1.634301384910941124e-03
-1.903223991394042969e+00	4.262005805969238281e+00	1.666405703872442245e-03
-1.884476900100708008e+00	4.260141849517822266e+00	1.702146255411207676e-03
-1.865825057029724121e+00	4.258273601531982422e+00	1.755230012349784374e-03
-1.847259044647216797e+00	4.256410121917724609e+00	1.804822240956127644e-03
-1.828788042068481445e+00	4.254556179046630859e+00	1.844052341766655445e-03
-1.810402989387512207e+00	4.252706050872802734e+00	1.878078677691519260e-03
-1.792106032371520996e+00	4.250850677490234375e+00	1.918145455420017242e-03
-1.773898839950561523e+00	4.249002456665039062e+00	1.963920192793011665e-03
-1.755774974822998047e+00	4.247160434722900391e+00	2.006150782108306885e-03
-1.737737059593200684e+00	4.245320320129394531e+00	2.046965062618255615e-03
-1.719782829284667969e+00	4.243479728698730469e+00	2.094940515235066414e-03
-1.701912045478820801e+00	4.241643905639648438e+00	2.140904311090707779e-03
-1.684123039245605469e+00	4.239810943603515625e+00	2.181179355829954147e-03
-1.666414022445678711e+00	4.237981319427490234e+00	2.220301423221826553e-03
-1.648784995079040527e+00	4.236146450042724609e+00	2.257032785564661026e-03
-1.631236910820007324e+00	4.234307765960693359e+00	2.303776564076542854e-03
-1.613765954971313477e+00	4.232470512390136719e+00	2.364922780543565750e-03
-1.596371054649353027e+00	4.230631828308105469e+00	2.428944222629070282e-03
-1.579053878784179688e+00	4.228791713714599609e+00	2.489089500159025192e-03
-1.561812043190002441e+00	4.226957321166992188e+00	2.543666400015354156e-03
-1.544644951820373535e+00	4.225128650665283203e+00	2.592864679172635078e-03
-1.527549862861633301e+00	4.223298072814941406e+00	2.645821776241064072e-03
-1.510529160499572754e+00	4.221461772918701172e+00	2.704520942643284798e-03
-1.493579983711242676e+00	4.219622135162353516e+00	2.781296381726861000e-03
-1.476701855659484863e+00	4.217782974243164062e+00	2.865531714633107185e-03
-1.459892988204956055e+00	4.215941429138183594e+00	2.952249720692634583e-03
-1.443155050277709961e+00	4.214099407196044922e+00	3.035290865227580070e-03
-1.426483035087585449e+00	4.212261676788330078e+00	3.110725898295640945e-03
-1.409880042076110840e+00	4.210426807403564453e+00	3.187000285834074020e-03
-1.393343091011047363e+00	4.208589553833007812e+00	3.260025288909673691e-03
-1.376871943473815918e+00	4.206745147705078125e+00	3.339353716000914574e-03
-1.360465168952941895e+00	4.204901695251464844e+00	3.426237963140010834e-03
-1.344123959541320801e+00	4.203063488006591797e+00	3.501008264720439911e-03
-1.327846050262451172e+00	4.201224327087402344e+00	3.572960617020726204e-03
-1.311630964279174805e+00	4.199378967285156250e+00	3.652598243206739426e-03
-1.295475959777832031e+00	4.197538375854492188e+00	3.736392362043261528e-03
-1.279384016990661621e+00	4.195693969726562500e+00	3.821367397904396057e-03
-1.263349056243896484e+00	4.193850994110107422e+00	3.899985458701848984e-03
-1.247375965118408203e+00	4.192008018493652344e+00	3.968879114836454391e-03
-1.231462001800537109e+00	4.190170764923095703e+00	4.035763442516326904e-03
-1.215603947639465332e+00	4.188323497772216797e+00	4.110614303499460220e-03
-1.199805021286010742e+00	4.186466217041015625e+00	4.200269933789968491e-03
-1.184061050415039062e+00	4.184602737426757812e+00	4.300761036574840546e-03
-1.168373942375183105e+00	4.182734966278076172e+00	4.413321148604154587e-03
-1.152740955352783203e+00	4.180858135223388672e+00	4.533769097179174423e-03
-1.137161970138549805e+00	4.178972721099853516e+00	4.662180785089731216e-03
-1.121634960174560547e+00	4.177085876464843750e+00	4.809063393622636795e-03
-1.106163024902343750e+00	4.175194740295410156e+00	4.959704354405403137e-03
-1.090741038322448730e+00	4.173296451568603516e+00	5.114329047501087189e-03
-1.075371980667114258e+00	4.171390533447265625e+00	5.280402023345232010e-03
-1.060052990913391113e+00	4.169477462768554688e+00	5.463541019707918167e-03
-1.044782996177673340e+00	4.167562007904052734e+00	5.638531409204006195e-03
-1.029562950134277344e+00	4.165639877319335938e+00	5.817016121000051498e-03
-1.014392018318176270e+00	4.163718700408935547e+00	6.000202149152755737e-03
-9.992688894271850586e-01	4.161796569824218750e+00	6.180504336953163147e-03
-9.841933250427246094e-01	4.159871101379394531e+00	6.354698445647954941e-03
-9.691634178161621094e-01	4.157942771911621094e+00	6.523405667394399643e-03
-9.541792869567871094e-01	4.156013488769531250e+00	6.687378045171499252e-03
-9.392408728599548340e-01	4.154073715209960938e+00	6.852129474282264709e-03
-9.243474602699279785e-01	4.152117252349853516e+00	7.040007971227169037e-03
-9.094967246055603027e-01	4.150157928466796875e+00	7.252244278788566589e-03
-8.946899771690368652e-01	4.148202419281005859e+00	7.449922617524862289e-03
-8.799251914024353027e-01	4.146236896514892578e+00	7.663222961127758026e-03
-8.652042150497436523e-01	4.144263267517089844e+00	7.890509441494941711e-03
-8.505243659019470215e-01	4.142285346984863281e+00	8.123030886054039001e-03
-8.358844518661499023e-01	4.140292644500732422e+00	8.372386917471885681e-03
-8.212857842445373535e-01	4.138284683227539062e+00	8.639959618449211121e-03
-8.067259192466735840e-01	4.136264324188232422e+00	8.918978273868560791e-03
-7.922062873840332031e-01	4.134236812591552734e+00	9.190779179334640503e-03
-7.777247428894042969e-01	4.132192611694335938e+00	9.475313127040863037e-03
